(806, 356)
(806, 358)
(806, 360)
(806, 362)
(806, 364)
(806, 366)
(806, 368)
(806, 370)
(806, 372)
(806, 374)
(806, 376)
(806, 378)
(806, 380)
(806, 382)
(806, 384)
(806, 386)
(806, 388)
(806, 390)
(806, 392)
(806, 394)
(806, 396)
(806, 398)
(806, 400)
(806, 402)
(806, 404)
(806, 406)
(806, 408)
(806, 410)
(806, 412)
(806, 414)
(806, 416)
(806, 418)
(806, 420)
(806, 422)
(806, 424)
(806, 426)
(806, 428)
(806, 430)
(806, 432)
(806, 434)
(806, 436)
(806, 438)
(806, 440)
(806, 442)
(806, 444)
(806, 446)
(806, 448)
(806, 450)
(806, 452)
(806, 454)
(806, 456)
(806, 458)
(806, 460)
(806, 462)
(806, 464)
(806, 466)
(806, 468)
(806, 470)
(806, 472)
(806, 474)
(806, 476)
(806, 478)
(806, 480)
(806, 482)
(806, 484)
(806, 486)
(806, 488)
(806, 490)
(806, 492)
(806, 494)
(806, 496)
(806, 498)
(806, 500)
(806, 502)
(806, 504)
(806, 506)
(806, 508)
(806, 510)
(806, 512)
(806, 514)
(806, 516)
(806, 518)
(806, 520)
(806, 522)
(806, 524)
(806, 526)
(806, 528)
(806, 530)
(806, 532)
(806, 534)
(806, 536)
(806, 538)
(806, 540)
(806, 542)
(806, 544)
(806, 546)
(806, 548)
